player,team,rank_profile_v3,rank_impact_v4,rank_consolidated_v5,psxg_shot_stopping_value_v5,clutch_save_value_v5,shootout_win_probability_added_v5,support_composite_v5,delta_v5_minus_v3,delta_v5_minus_v4,gate_flags,notes
Mohammed Khalil Al Owais,Saudi Arabia,2,,11,0.05811418449,0.1698423323,0,0.6536871693,9,,H1_martinez_top_10;H2_al_owais_outside_top_10;H3_turner_outside_top_3;H4_elite_core_three_in_top_8;H5_no_profile_mirage_podium;H6_identity_blind;H7_psxg_integrity;H8_clutch_monotonicity;H9_shootout_monotonicity;H10_single_metric_consolidation;H11_no_pedigree_feature;H12_baseline_preservation,Short group-stage exposure is regularized; no shootout channel.
Aymen Dahmen,Tunisia,9,,12,0.03092577814,0.1390304448,0,0.4257246377,3,,H1_martinez_top_10;H2_al_owais_outside_top_10;H3_turner_outside_top_3;H4_elite_core_three_in_top_8;H5_no_profile_mirage_podium;H6_identity_blind;H7_psxg_integrity;H8_clutch_monotonicity;H9_shootout_monotonicity;H10_single_metric_consolidation;H11_no_pedigree_feature;H12_baseline_preservation,
Devis Rogers Epassy Mboka,Cameroon,7,,13,0.04046185855,0.1017805185,0,0.532495471,6,,H1_martinez_top_10;H2_al_owais_outside_top_10;H3_turner_outside_top_3;H4_elite_core_three_in_top_8;H5_no_profile_mirage_podium;H6_identity_blind;H7_psxg_integrity;H8_clutch_monotonicity;H9_shootout_monotonicity;H10_single_metric_consolidation;H11_no_pedigree_feature;H12_baseline_preservation,
Unai Simón Mendibil,Spain,11,,14,-0.02089042306,0.0488670623,0.04971245953,0.6784638554,3,,H1_martinez_top_10;H2_al_owais_outside_top_10;H3_turner_outside_top_3;H4_elite_core_three_in_top_8;H5_no_profile_mirage_podium;H6_identity_blind;H7_psxg_integrity;H8_clutch_monotonicity;H9_shootout_monotonicity;H10_single_metric_consolidation;H11_no_pedigree_feature;H12_baseline_preservation,
Vanja Milinković Savić,Serbia,13,,15,0.01633153602,0.05159121225,0,0.5364841172,2,,H1_martinez_top_10;H2_al_owais_outside_top_10;H3_turner_outside_top_3;H4_elite_core_three_in_top_8;H5_no_profile_mirage_podium;H6_identity_blind;H7_psxg_integrity;H8_clutch_monotonicity;H9_shootout_monotonicity;H10_single_metric_consolidation;H11_no_pedigree_feature;H12_baseline_preservation,
Alisson Ramsés Becker,Brazil,21,,16,-0.04271410764,0.005972122769,0,0.4191576087,-5,,H1_martinez_top_10;H2_al_owais_outside_top_10;H3_turner_outside_top_3;H4_elite_core_three_in_top_8;H5_no_profile_mirage_podium;H6_identity_blind;H7_psxg_integrity;H8_clutch_monotonicity;H9_shootout_monotonicity;H10_single_metric_consolidation;H11_no_pedigree_feature;H12_baseline_preservation,
Thibaut Courtois,Belgium,15,,17,0.01482157109,0.04382612964,0,0.3400607639,2,,H1_martinez_top_10;H2_al_owais_outside_top_10;H3_turner_outside_top_3;H4_elite_core_three_in_top_8;H5_no_profile_mirage_podium;H6_identity_blind;H7_psxg_integrity;H8_clutch_monotonicity;H9_shootout_monotonicity;H10_single_metric_consolidation;H11_no_pedigree_feature;H12_baseline_preservation,
Lawrence Ati-Zigi,Ghana,24,,18,-0.0375538688,0.1477049333,0,0.3326480263,-6,,H1_martinez_top_10;H2_al_owais_outside_top_10;H3_turner_outside_top_3;H4_elite_core_three_in_top_8;H5_no_profile_mirage_podium;H6_identity_blind;H7_psxg_integrity;H8_clutch_monotonicity;H9_shootout_monotonicity;H10_single_metric_consolidation;H11_no_pedigree_feature;H12_baseline_preservation,
Sergio Rochet Álvarez,Uruguay,14,,19,-0.002452677652,0.008287201892,0,0.5416666667,5,,H1_martinez_top_10;H2_al_owais_outside_top_10;H3_turner_outside_top_3;H4_elite_core_three_in_top_8;H5_no_profile_mirage_podium;H6_identity_blind;H7_psxg_integrity;H8_clutch_monotonicity;H9_shootout_monotonicity;H10_single_metric_consolidation;H11_no_pedigree_feature;H12_baseline_preservation,
Jordan Pickford,England,20,,20,-0.0368149864,0.1472241037,0,0.2327078164,0,,H1_martinez_top_10;H2_al_owais_outside_top_10;H3_turner_outside_top_3;H4_elite_core_three_in_top_8;H5_no_profile_mirage_podium;H6_identity_blind;H7_psxg_integrity;H8_clutch_monotonicity;H9_shootout_monotonicity;H10_single_metric_consolidation;H11_no_pedigree_feature;H12_baseline_preservation,
Seyed Hossein Hosseini,Iran,27,,21,-0.02880264011,0.01753927709,0,0.4435763889,-6,,H1_martinez_top_10;H2_al_owais_outside_top_10;H3_turner_outside_top_3;H4_elite_core_three_in_top_8;H5_no_profile_mirage_podium;H6_identity_blind;H7_psxg_integrity;H8_clutch_monotonicity;H9_shootout_monotonicity;H10_single_metric_consolidation;H11_no_pedigree_feature;H12_baseline_preservation,
Manuel Neuer,Germany,18,,22,-0.00844175269,0,0,0.626953125,4,,H1_martinez_top_10;H2_al_owais_outside_top_10;H3_turner_outside_top_3;H4_elite_core_three_in_top_8;H5_no_profile_mirage_podium;H6_identity_blind;H7_psxg_integrity;H8_clutch_monotonicity;H9_shootout_monotonicity;H10_single_metric_consolidation;H11_no_pedigree_feature;H12_baseline_preservation,
Kasper Schmeichel,Denmark,12,,23,-0.0125248045,0.0002245388514,0,0.6846590909,11,,H1_martinez_top_10;H2_al_owais_outside_top_10;H3_turner_outside_top_3;H4_elite_core_three_in_top_8;H5_no_profile_mirage_podium;H6_identity_blind;H7_psxg_integrity;H8_clutch_monotonicity;H9_shootout_monotonicity;H10_single_metric_consolidation;H11_no_pedigree_feature;H12_baseline_preservation,
Meshaal Aissa Barsham,Qatar,30,,24,-0.04673742367,0,0,0.5994067329,-6,,H1_martinez_top_10;H2_al_owais_outside_top_10;H3_turner_outside_top_3;H4_elite_core_three_in_top_8;H5_no_profile_mirage_podium;H6_identity_blind;H7_psxg_integrity;H8_clutch_monotonicity;H9_shootout_monotonicity;H10_single_metric_consolidation;H11_no_pedigree_feature;H12_baseline_preservation,
Wayne Hennessey,Wales,29,,25,-0.04699548771,0.002044324556,0,0.3995627572,-4,,H1_martinez_top_10;H2_al_owais_outside_top_10;H3_turner_outside_top_3;H4_elite_core_three_in_top_8;H5_no_profile_mirage_podium;H6_identity_blind;H7_psxg_integrity;H8_clutch_monotonicity;H9_shootout_monotonicity;H10_single_metric_consolidation;H11_no_pedigree_feature;H12_baseline_preservation,
Hernán Ismael Galíndez,Ecuador,25,,26,-0.01559310951,0.0006959148099,0,0.5552745665,1,,H1_martinez_top_10;H2_al_owais_outside_top_10;H3_turner_outside_top_3;H4_elite_core_three_in_top_8;H5_no_profile_mirage_podium;H6_identity_blind;H7_psxg_integrity;H8_clutch_monotonicity;H9_shootout_monotonicity;H10_single_metric_consolidation;H11_no_pedigree_feature;H12_baseline_preservation,
Francisco Guillermo Ochoa Magaña,Mexico,31,,27,-0.02878210711,0.01509049801,0,0.2045179264,-4,,H1_martinez_top_10;H2_al_owais_outside_top_10;H3_turner_outside_top_3;H4_elite_core_three_in_top_8;H5_no_profile_mirage_podium;H6_identity_blind;H7_psxg_integrity;H8_clutch_monotonicity;H9_shootout_monotonicity;H10_single_metric_consolidation;H11_no_pedigree_feature;H12_baseline_preservation,
Keylor Navas Gamboa,Costa Rica,32,,28,-0.102017759,0.1319935731,0,0.4575471698,-4,,H1_martinez_top_10;H2_al_owais_outside_top_10;H3_turner_outside_top_3;H4_elite_core_three_in_top_8;H5_no_profile_mirage_podium;H6_identity_blind;H7_psxg_integrity;H8_clutch_monotonicity;H9_shootout_monotonicity;H10_single_metric_consolidation;H11_no_pedigree_feature;H12_baseline_preservation,
Edouard Mendy,Senegal,28,,29,-0.09619638139,0.1248530112,0,0.5578007519,1,,H1_martinez_top_10;H2_al_owais_outside_top_10;H3_turner_outside_top_3;H4_elite_core_three_in_top_8;H5_no_profile_mirage_podium;H6_identity_blind;H7_psxg_integrity;H8_clutch_monotonicity;H9_shootout_monotonicity;H10_single_metric_consolidation;H11_no_pedigree_feature;H12_baseline_preservation,
Yann Sommer,Switzerland,17,,30,-0.06686415202,0.01983881533,0,0.6750827815,13,,H1_martinez_top_10;H2_al_owais_outside_top_10;H3_turner_outside_top_3;H4_elite_core_three_in_top_8;H5_no_profile_mirage_podium;H6_identity_blind;H7_psxg_integrity;H8_clutch_monotonicity;H9_shootout_monotonicity;H10_single_metric_consolidation;H11_no_pedigree_feature;H12_baseline_preservation,
Milan Borjan,Canada,26,,31,-0.06373461188,0.01732310508,0,0.5047612661,5,,H1_martinez_top_10;H2_al_owais_outside_top_10;H3_turner_outside_top_3;H4_elite_core_three_in_top_8;H5_no_profile_mirage_podium;H6_identity_blind;H7_psxg_integrity;H8_clutch_monotonicity;H9_shootout_monotonicity;H10_single_metric_consolidation;H11_no_pedigree_feature;H12_baseline_preservation,
Seung-Gyu Kim,South Korea,19,,32,-0.0378666751,0.01392806224,0,0.6456207483,13,,H1_martinez_top_10;H2_al_owais_outside_top_10;H3_turner_outside_top_3;H4_elite_core_three_in_top_8;H5_no_profile_mirage_podium;H6_identity_blind;H7_psxg_integrity;H8_clutch_monotonicity;H9_shootout_monotonicity;H10_single_metric_consolidation;H11_no_pedigree_feature;H12_baseline_preservation,
